INFO:root:the number is john
INFO:root:the number is bob
INFO:root:the number is gracey
INFO:root:the number is john and bill too
INFO:root:the number is bob and bill too
INFO:root:the number is gracey and bill too
INFO:root:Connected by 127.0.0.1:32000
INFO:root:Connected by sjiaimaisjaiimmy
INFO:root:Connected by sjiaimaisjaiimmy and also siowaejf
DEBUG:salt.config:Reading configuration from /etc/salt/master
DEBUG:salt.config:Missing configuration file: /root/.saltrc
DEBUG:salt.utils.event:MasterEvent PUB socket URI: /var/run/salt/master/master_event_pub.ipc
DEBUG:salt.utils.event:MasterEvent PULL socket URI: /var/run/salt/master/master_event_pull.ipc
INFO:root:please work now k thanks
INFO:root:Connected by jwaefwfeawfeawefrk and also syywefawfyyyyyyyyyy
DEBUG:salt.utils.decorators.jinja:Marking 'to_bytes' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'to_num' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'str_to_num' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_hex' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'random_str' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'contains_whitespace' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'check_whitelist_blacklist' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'to_snake_case' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'to_camelcase' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'set_dict_key_value' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'update_dict_key_value' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'append_dict_key_value' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'extend_dict_key_value' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'compare_dicts' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'compare_lists' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_encode_dict' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_decode_dict' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_encode_list' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_decode_list' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'exactly_n_true' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'exactly_one_true' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'traverse' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'substring_in_list' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_list' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_iter' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sorted_ignorecase' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'mysql_to_dict' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_query' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'which' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'path_join' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_empty' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_text_file' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_bin_file' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'list_files' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_ip' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_ipv4' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_ipv6' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'ipv4' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'ipv6' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'ipaddr' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'ip_host' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'network_hosts' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'network_size' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'gen_mac' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'mac_str_to_bytes' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'dns_check' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'filter_by_networks' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'get_uid' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'strftime' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'date_format' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'base64_encode' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'base64_decode' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'md5' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sha1' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sha256' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sha512' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'hmac' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'hmac_compute' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'random_hash' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'rand_str' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'file_hashsum' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'http_query' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'raise' as a jinja global
DEBUG:salt.utils.decorators.jinja:Marking 'match' as a jinja test
DEBUG:salt.utils.decorators.jinja:Marking 'equalto' as a jinja test
DEBUG:salt.utils.decorators.jinja:Marking 'skip' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sequence' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'to_bool' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'indent' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'tojson' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'quote' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_escape' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_search' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_match' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_replace' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'uuid' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'unique' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'min' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'max' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'avg' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'union' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'intersect' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'difference' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'symmetric_difference' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'method_call' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'yaml_dquote' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'yaml_squote' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'yaml_encode' as a jinja filter
INFO:root:Connected by j444444444444444frk and also syywefawfyyyyyyyyyy
DEBUG:salt.utils.decorators.jinja:Marking 'to_bytes' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'to_num' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'str_to_num' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_hex' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'random_str' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'contains_whitespace' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'check_whitelist_blacklist' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'to_snake_case' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'to_camelcase' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'set_dict_key_value' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'update_dict_key_value' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'append_dict_key_value' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'extend_dict_key_value' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'compare_dicts' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'compare_lists' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_encode_dict' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_decode_dict' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_encode_list' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_decode_list' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'exactly_n_true' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'exactly_one_true' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'traverse' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'substring_in_list' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_list' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_iter' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sorted_ignorecase' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'mysql_to_dict' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'json_query' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'which' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'path_join' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_empty' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_text_file' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_bin_file' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'list_files' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_ip' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_ipv4' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'is_ipv6' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'ipv4' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'ipv6' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'ipaddr' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'ip_host' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'network_hosts' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'network_size' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'gen_mac' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'mac_str_to_bytes' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'dns_check' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'filter_by_networks' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'get_uid' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'strftime' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'date_format' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'base64_encode' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'base64_decode' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'md5' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sha1' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sha256' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sha512' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'hmac' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'hmac_compute' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'random_hash' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'rand_str' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'file_hashsum' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'http_query' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'raise' as a jinja global
DEBUG:salt.utils.decorators.jinja:Marking 'match' as a jinja test
DEBUG:salt.utils.decorators.jinja:Marking 'equalto' as a jinja test
DEBUG:salt.utils.decorators.jinja:Marking 'skip' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sequence' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'to_bool' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'indent' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'tojson' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'quote' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_escape' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_search' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_match' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_replace' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'uuid' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'unique' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'min' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'max' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'avg' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'union' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'intersect' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'difference' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'symmetric_difference' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'method_call' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'yaml_dquote' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'yaml_squote' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'yaml_encode' as a jinja filter
